project_id,project_name,department,location,project_type,start_date,expected_completion_date,budget,current_cost,planned_progress,actual_progress,status,project_duration_days,cost_variance,cost_variance_percentage,progress_variance,budget_utilization,is_delayed,predicted_final_cost_target,cost_overrun_target,delay_days_target,risk_score_target,risk_level_target
1,Ahmedabad Metro Phase 2,Urban Development,Ahmedabad,Metro Rail,2024-01-15,2026-12-31,1200000000,980000000,78,71,At Risk,1081,128000000.0,10.666666666666668,7,81.66666666666667,1,1380281690.140845,15.023474178403756,21,83.16666666666667,HIGH
2,Mumbai Coastal Road Package 3,Public Works,Mumbai,Road Infrastructure,2023-04-10,2026-03-31,850000000,790000000,92,88,Delayed,1086,42000000.0,4.941176470588235,4,92.94117647058823,1,897727272.7272727,5.614973262032088,12,68.35294117647058,HIGH
3,Delhi Water Supply Upgrade,Water Resources,Delhi,Water Infrastructure,2024-02-01,2026-10-31,450000000,270000000,65,68,On Track,1003,-36000000.0,-8.0,-3,60.0,0,397058823.52941173,-11.764705882352947,0,30.0,LOW
4,Surat Smart Drainage Network,Urban Development,Surat,Drainage,2024-06-15,2026-08-30,320000000,250000000,72,59,At Risk,806,61200000.0,19.125,13,78.125,1,423728813.55932206,32.415254237288146,39,100.0,HIGH
5,Pune Ring Road Package 1,Public Works,Pune,Road Infrastructure,2023-08-01,2027-01-31,1500000000,610000000,55,48,At Risk,1279,-110000000.0,-7.333333333333333,7,40.666666666666664,1,1270833333.3333335,-15.277777777777768,21,41.33333333333333,MEDIUM
6,Chennai Metro Extension,Transport,Chennai,Metro Rail,2023-01-20,2026-11-30,1800000000,1420000000,85,82,On Track,1410,-56000000.0,-3.111111111111111,3,78.88888888888889,1,1731707317.073171,-3.7940379403793947,9,48.44444444444444,MEDIUM
7,Bengaluru Elevated Corridor,Transport,Bengaluru,Road Infrastructure,2024-03-01,2027-03-31,1100000000,520000000,48,39,At Risk,1125,91000000.0,8.272727272727273,9,47.27272727272727,1,1333333333.3333333,21.212121212121204,27,67.18181818181819,HIGH
8,Jaipur Water Treatment Plant,Water Resources,Jaipur,Water Infrastructure,2024-01-10,2026-06-30,380000000,365000000,94,91,Delayed,902,19200000.0,5.052631578947368,3,96.05263157894737,1,401098901.0989011,5.552342394447656,9,67.13157894736842,HIGH
9,Hyderabad IT Corridor Road,Public Works,Hyderabad,Road Infrastructure,2023-09-15,2026-09-30,720000000,680000000,89,85,On Track,1111,68000000.0,9.444444444444445,4,94.44444444444444,1,800000000.0,11.11111111111111,12,78.11111111111111,HIGH
10,Kolkata River Bridge,Transport,Kolkata,Bridge,2023-05-01,2026-12-31,950000000,820000000,76,69,At Risk,1340,164500000.0,17.31578947368421,7,86.31578947368422,1,1188405797.1014493,25.09534706331045,21,98.78947368421052,HIGH
11,Lucknow Smart Traffic System,Urban Development,Lucknow,Smart City,2024-04-01,2026-07-31,210000000,170000000,83,79,On Track,851,4100000.0,1.9523809523809523,4,80.95238095238095,1,215189873.4177215,2.4713682941531,12,56.38095238095238,MEDIUM
12,Bhopal Urban Housing Phase 1,Housing,Bhopal,Housing,2023-11-15,2026-08-31,600000000,480000000,74,63,At Risk,1020,102000000.0,17.0,11,80.0,1,761904761.9047619,26.984126984126984,33,100.0,HIGH
